,Fvar,frequency,frequency_strength,slope,R,std,mean,median,name
0,,,,,,,,,455266768453-light-curves
1,,,,,,,,,51539983161-light-curves
2,,,,,,,,,51540599924-light-curves
3,,,,,,,,,661425968103-light-curves
4,,,,,,,,,283469081569-light-curves
5,,,,,,,,,661434645844-light-curves
6,,,,,,,,,575526084438-light-curves
7,,,,,,,,,300648985088-light-curves
8,,,,,,,,,661426099447-light-curves
9,,,,,,,,,240518534173-light-curves
10,,,,,,,,,661426226305-light-curves
11,,,,,,,,,661430345306-light-curves
12,,,,,,,,,661425760763-light-curves
13,,,,,,,,,661425901781-light-curves
14,,,,,,,,,661426970912-light-curves
15,,,,,,,,,661430982250-light-curves
16,,,,,,,,,34360900140-light-curves
17,,,,,,,,,661432004123-light-curves
18,,,,,,,,,661430457159-light-curves
19,,,,,,,,,661427436372-light-curves
20,,,,,,,,,438087133107-light-curves
21,,,,,,,,,77310714964-light-curves
22,,,,,,,,,661431843838-light-curves
23,,,,,,,,,481036934387-light-curves
24,,,,,,,,,661426184029-light-curves
25,,,,,,,,,661426202618-light-curves
26,,,,,,,,,146030198227-light-curves
27,,,,,,,,,549756934381-light-curves
28,,,,,,,,,661425704484-light-curves
29,,,,,,,,,661432314200-light-curves
30,,,,,,,,,661434926383-light-curves
31,,,,,,,,,661432032922-light-curves
32,,,,,,,,,661430478842-light-curves
33,,,,,,,,,661431043742-light-curves
34,,,,,,,,,128850296103-light-curves
35,,,,,,,,,85900820588-light-curves
36,,,,,,,,,661434947661-light-curves
37,,,,,,,,,661434617839-light-curves
38,,,,,,,,,661430773886-light-curves
39,,,,,,,,,661430847787-light-curves
40,,,,,,,,,661434667829-light-curves
41,,,,,,,,,661432314172-light-curves
42,,,,,,,,,292058876141-light-curves
43,,,,,,,,,438087787336-light-curves
44,,,,,,,,,661434602448-light-curves
45,,,,,,,,,661432075411-light-curves
46,,,,,,,,,661431983516-light-curves
47,,,,,,,,,103080565323-light-curves
48,,,,,,,,,661427167435-light-curves
49,,,,,,,,,661431836489-light-curves
50,,,,,,,,,214749111855-light-curves(1)
51,,,,,,,,,661430792604-light-curves
52,,,,,,,,,137439396643-light-curves
53,,,,,,,,,60130590013-light-curves
54,,,,,,,,,249108199763-light-curves
55,,,,,,,,,661430715565-light-curves
56,,,,,,,,,146030090281-light-curves
57,,,,,,,,,661430841459-light-curves
58,,,,,,,,,661430364386-light-curves
59,,,,,,,,,661427337426-light-curves
60,,,,,,,,,661430463745-light-curves
61,,,,,,,,,661426517123-light-curves
62,,,,,,,,,661427412422-light-curves
63,,,,,,,,,661431295346-light-curves
64,,,,,,,,,360777318129-light-curves
65,,,,,,,,,609886332879-light-curves
66,,,,,,,,,661431008753-light-curves
67,,,,,,,,,197568531637-light-curves
68,,,,,,,,,377957862504-light-curves
69,,,,,,,,,360777904015-light-curves
70,,,,,,,,,360777877912-light-curves(1)
71,,,,,,,,,197569743716-light-curves
72,,,,,,,,,498216347609-light-curves
73,,,,,,,,,661426998183-light-curves
74,,,,,,,,,292058611235-light-curves
75,,,,,,,,,661430518837-light-curves
76,,,,,,,,,292057988740-light-curves
77,,,,,,,,,231929336310-light-curves
78,,,,,,,,,438086942128-light-curves
79,,,,,,,,,661427490093-light-curves
80,,,,,,,,,17179988583-light-curves
81,,,,,,,,,231928827015-light-curves
82,,,,,,,,,661434963179-light-curves
83,,,,,,,,,661431630851-light-curves
84,,,,,,,,,661434889104-light-curves
85,,,,,,,,,60129589448-light-curves
86,,,,,,,,,661425819427-light-curves
87,,,,,,,,,661426856184-light-curves
88,,,,,,,,,429497221651-light-curves
89,,,,,,,,,206159260275-light-curves
90,,,,,,,,,326418680715-light-curves
91,,,,,,,,,661432318164-light-curves
92,,,,,,,,,34359800117-light-curves
93,,,,,,,,,214749111855-light-curves
94,,,,,,,,,661430492343-light-curves
95,,,,,,,,,214749718289-light-curves
96,,,,,,,,,661430607288-light-curves(5)
97,,,,,,,,,661431383978-light-curves
98,,,,,,,,,240518435173-light-curves
99,,,,,,,,,661425874591-light-curves
100,,,,,,,,,661427364573-light-curves
101,,,,,,,,,661434926411-light-curves
