,name,ID,ra,dec
0,M 31,661430607288,00 42 44.3,+41 16 10
1,NGC  185,111670115454,00 38 57.4,+48 20 14
2,NGC 3031,661430423402,09 55 33.2,+69 03 55
3,NGC 4550,661430480212,12 35 30.6,+12 13 15
4,NGC 4395,661431974092,12 25 48.9,+33 32 48
5,NGC  253,661430330290,00 47 33.2,-25 17 17
6,SDSS J14023+5420,661437547079,14 02 21.0,+54 20 04
7,NGC 4552,661430418886,12 35 40.0,+12 33 23
8,NGC 5253,661430492343,13 39 56.0,-31 38 24
9,NGC 4639,661432029991,12 42 52.5,+13 15 25
10,PC 1311+4635,-1,13 13 22.8,+46 19 30
11,NGC  404,25770647399,01 09 27.1,+35 43 05
12,NGC 3738,661431128464,11 35 47.1,+54 31 32
13,NGC 4826,661431205094,12 56 43.9,+21 41 00
14,NGC 5194,661430467949,13 29 52.4,+47 11 41
15,NGC 4736,661430482123,12 50 52.7,+41 07 10
16,Circinus,-1,14 13 09.8,-65 20 17
17,NGC  625,661430481481,01 35 05.1,-41 26 11
18,NGC 5128,661430490724,13 25 28.0,-43 01 00
19,NGC 3621,395138009718,11 18 16.5,-32 48 51
20,SDSS J13289+3108,17181246677,13 28 56.7,+31 08 46
21,NGC 3627,661430471806,11 20 14.9,+12 59 27
22,NGC 4051,661430417501,12 03 09.6,+44 31 53
23,NGC 1386,661430364386,03 36 46.4,-35 59 57
24,NGC 4945,661430485374,13 05 27.6,-49 28 03
25,SDSS J10390+4140,25771189768,10 39 00.4,+41 40 08
26,NGC 2841,661431011923,09 22 02.0,+50 58 40
27,SDSS J15199+0804,661426321486,15 19 56.6,+08 04 22
28,NGC 4625,661430607294,12 41 52.8,+41 16 27
29,SDSS J07596+1914,661428776801,07 59 39.8,+19 14 17
30,SDSS J08132+4559,-1,08 13 13.1,+45 59 26
31,NGC 4594,661430478842,12 39 59.3,-11 37 23
32,NGC 4278,661430468725,12 20 06.9,+29 16 51
33,SDSS J09328+4725,661428907026,09 32 49.6,+47 25 22
34,SDSS J12046+1827,661426596260,12 04 36.1,+18 27 59
35,SDSS J12439+3210,661431193472,12 43 56.7,+32 10 15
36,NGC 4548,661430466713,12 35 26.5,+14 30 24
37,NGC 3486,661431096373,11 00 23.9,+28 58 30
38,NGC 5866,661431729771,15 06 29.5,+55 45 48
39,Q 1200+4755,-1,12 02 58.2,+47 39 11
40,NGC 4206,360777733884,12 15 16.8,+13 01 27
41,NGC 1058,661430762737,02 43 29.9,+37 20 27
42,NGC 4258,661427263664,12 18 57.5,+47 18 14
43,NGC 2681,661430412442,08 53 32.6,+51 18 48
44,NGC 3353,661430497556,10 45 22.4,+55 57 36
45,NGC 3607,661426585049,11 16 54.8,+18 03 04
46,NGC 3718,103080460072,11 32 34.6,+53 04 04
47,NGC 3928,661430420403,11 51 47.6,+48 40 59
48,NGC 1068,661430354689,02 42 40.7,-00 00 47
49,NGC 3310,661427357064,10 38 45.8,+53 30 12
50,NGC 4374,661430429453,12 25 03.7,+12 53 13
51,NGC 4151,42949788551,12 10 32.5,+39 24 21
52,NGC 4102,661431156391,12 06 23.1,+52 42 39
53,NGC 2685,661430989272,08 55 34.6,+58 44 04
54,Q 0956+4751,661432308844,09 59 18.5,+47 36 58
55,NGC 5273,8591175168,13 42 08.3,+35 39 15
56,NGC 4143,661430349960,12 09 36.2,+42 32 03
57,NGC 4636,661430479852,12 42 50.0,+02 41 16
58,NGC 5879,60130033637,15 09 46.8,+57 00 00
59,NGC 6300,661431811029,17 16 59.2,-62 49 05
60,NGC 3941,661428844968,11 52 55.4,+36 59 11
61,NGC 5005,661430486128,13 10 56.3,+37 03 30
62,NGC 4138,661427199212,12 09 29.9,+43 41 06
63,NGC 1808,661430593960,05 07 42.3,-37 30 46
64,NGC 5643,661431836489,14 32 40.7,-44 10 28
65,NGC 4117,51540375931,12 07 46.2,+43 07 36
66,IC 4870,644245657295,19 37 38.3,-65 48 45
67,NGC 3982,103079776947,11 56 28.1,+55 07 30
68,NGC 4772,257698143968,12 53 29.4,+02 10 05
69,NGC 3227,188978684743,10 23 30.6,+19 51 56
70,NGC 5033,60130373479,13 13 27.5,+36 35 38
71,NGC 3169,661430340748,10 14 14.8,+03 27 59
72,NGC 4698,661430481023,12 48 22.9,+08 29 14
73,NGC 2787,60130527107,09 19 18.9,+69 12 12
74,UGC  7377,94490788590,12 19 50.6,+29 36 50
75,NGC 3423,197569640328,10 51 14.4,+05 50 24
76,NGC 4941,326418317988,13 04 13.1,-05 33 06
77,IC 3576,661432314422,12 36 37.7,+06 37 14
78,NGC 4472,661426319491,12 29 46.8,+08 00 02
79,NGC  660,661430474291,01 43 02.5,+13 38 42
80,NGC 3185,206159470392,10 17 38.5,+21 41 18
81,NGC 4725,661431199238,12 50 26.6,+25 30 06
82,SDSS J01143+0055,661432311582,01 14 20.5,+00 55 02
83,SDSS J12482-0319,-1,12 48 13.0,-03 19 59
84,SDSS J09420+5729,-1,09 42 02.6,+57 29 23
85,KAZ  69,661430592557,16 16 37.3,+68 12 11
86,NGC 3998,137438970343,11 57 56.1,+55 27 13
87,NGC 4694,661431197130,12 48 15.1,+10 59 01
88,NGC 7217,661431563832,22 07 52.6,+31 21 33
89,NGC  428,661428698672,01 12 55.7,+00 58 54
90,SDSS J12580+0134,661426138150,12 58 01.2,+01 34 33
91,NGC 4411B,661432048505,12 26 47.3,+08 53 05
92,NGC 4192,661432314200,12 13 48.3,+14 54 02
93,MARK 1308,335007866823,11 54 12.4,+00 08 12
94,NGC 4565,661430476666,12 36 20.6,+25 59 11
95,NGC 3079,661430451311,10 01 58.5,+55 40 50
96,NGC 4517,661432028941,12 32 45.6,+00 06 54
97,NGC 4700,661431197998,12 49 07.1,-11 24 44
98,NGC 1097,661430457159,02 46 19.0,-30 16 28
99,NGC 1672,661430436473,04 45 42.2,-59 14 51
100,NGC 3226,661431953044,10 23 27.0,+19 53 54
101,NGC 5806,661431317272,15 00 00.4,+01 53 29
102,NGC 4203,661430415490,12 15 05.0,+33 11 50
103,UGC 10713,661431412093,17 04 33.9,+72 26 45
104,NGC 4438,360777722767,12 27 45.6,+13 00 32
105,NGC 2985,661430422670,09 50 22.1,+72 16 45
106,NGC 1566,661431822098,04 20 00.7,-54 56 17
107,NGC 4569,661430476780,12 36 49.9,+13 09 50
108,MCG -06.21.005,-1,09 25 17.8,-34 05 57
109,NGC 4486,661430475141,12 30 49.5,+12 23 28
110,NGC 6221,661432315563,16 52 45.7,-59 12 59
111,NGC 3177,171799557239,10 16 34.1,+21 07 23
112,MCG -04.30.010,-1,12 40 13.8,-25 19 36
113,NGC 1042,292058113200,02 40 23.9,-08 26 01
114,NGC 2442,661430931948,07 36 24.0,-69 31 48
115,NGC  613,661430708832,01 34 18.2,-29 25 06
116,IC 1459,661430414026,22 57 10.6,-36 27 44
117,NGC 7582,455266761353,23 18 23.5,-42 22 14
118,NGC 7590,661430518837,23 18 54.8,-42 14 21
119,NGC 7496,403728159733,23 09 47.3,-43 25 40
120,NGC 7552,661432029284,23 16 10.8,-42 35 05
121,NGC 7314,661432316471,22 35 46.1,-26 03 02
122,NGC 4813,377958402691,12 56 36.3,-06 49 02
123,NGC 3254,661437549396,10 29 19.9,+29 29 30
124,NGC 3032,103080170227,09 52 08.1,+29 14 10
125,NGC 1052,661430330422,02 41 04.8,-08 15 21
126,NGC 4477,661430356726,12 30 02.2,+13 38 11
127,NGC 4579,661430410960,12 37 43.5,+11 49 05
128,ESO 540-G14,661425772124,00 41 11.8,-21 07 54
129,SDSS J14418+0305,661432318164,14 41 48.7,+03 05 23
130,NGC  676,661432311744,01 48 57.3,+05 54 24
131,NGC 2217,403727185009,06 21 39.7,-27 14 01
132,NGC 2768,661430548765,09 11 37.5,+60 02 14
133,NGC 4036,661430464326,12 01 26.8,+61 53 45
134,NGC  918,309238547445,02 25 50.9,+18 29 46
135,NGC 5084,661430335764,13 20 16.8,-21 49 38
136,ESO 428-G14,498216347609,07 16 31.2,-29 19 28
137,NGC 4383,661431174002,12 25 25.5,+16 28 11
138,NGC 6814,661431899198,19 42 40.7,-10 19 23
139,NGC 3642,661431116640,11 22 17.8,+59 04 28
140,NGC 4750,8590119116,12 50 07.3,+72 52 29
141,NGC 6217,8591050281,16 32 38.6,+78 11 52
142,NGC 2655,661432313151,08 55 38.8,+78 13 25
143,NGC 3504,661432029555,11 03 11.2,+27 58 22
144,SDSS J12455-0032,-1,12 45 31.6,-00 32 23
145,NGC 4303,661430421189,12 21 54.9,+04 28 25
146,NGC 3962,661431145421,11 54 40.1,-13 58 30
147,MARK  620,128849731792,06 50 08.7,+60 50 45
